GENEID	TOPOID	FOUND	STUDIED
ENSG00000139746	31	1	1
ENSG00000226936	31	1	1
ENSG00000226936	78	1	32
ENSG00000101544	5	1	22
ENSG00000101544	31	3	3
ENSG00000101544	78	3	33
ENSG00000101255	5	2	32
ENSG00000154727	5	1	23
ENSG00000154727	31	1	1
ENSG00000183311	31	1	1
ENSG00000100024	31	2	2
ENSG00000180509	31	2	2
ENSG00000206208	31	1	1
ENSG00000102471	31	1	1
ENSG00000198081	31	1	1
ENSG00000089199	31	1	1
ENSG00000089199	78	3	14
ENSG00000234137	31	1	1
ENSG00000237403	31	1	1
ENSG00000133101	31	1	1
ENSG00000133101	65	2	200
ENSG00000136158	31	1	1
ENSG00000089195	135	1	23
ENSG00000226826	31	1	1
ENSG00000178235	5	1	22
ENSG00000178235	31	2	2
ENSG00000099904	31	1	1
ENSG00000228321	31	1	1
ENSG00000228321	123	1	6
ENSG00000228321	135	1	24
ENSG00000184564	5	1	23
ENSG00000184564	14	1	7
ENSG00000184564	31	1	1
ENSG00000223531	65	1	11
ENSG00000142192	31	1	1
ENSG00000227780	31	1	1
ENSG00000165300	5	1	22
ENSG00000165300	31	2	2
ENSG00000165300	135	2	24
ENSG00000133111	31	1	1
ENSG00000179399	31	2	2
ENSG00000082397	31	5	5
ENSG00000229071	78	1	48
ENSG00000080166	5	1	22
ENSG00000080166	31	2	2
ENSG00000080166	135	1	23
ENSG00000236399	31	1	1
ENSG00000125875	5	1	22
ENSG00000120699	135	1	23
ENSG00000235487	31	1	1
ENSG00000206206	31	2	2
ENSG00000206206	123	2	7
ENSG00000206206	135	18	92
ENSG00000125885	123	1	6
ENSG00000235346	5	1	446
ENSG00000235346	31	3	3
ENSG00000225211	31	1	1
ENSG00000101266	31	1	27
ENSG00000100028	31	1	1
ENSG00000152749	78	1	48
ENSG00000206430	31	1	1
ENSG00000137197	31	1	1
ENSG00000137197	135	1	23
ENSG00000125257	5	3	446
ENSG00000180138	9	1	14
ENSG00000231641	31	2	2
ENSG00000231641	65	1	11
ENSG00000185252	31	1	1
ENSG00000159212	5	1	22
ENSG00000159212	31	1	1
ENSG00000133110	31	2	2
ENSG00000159216	5	1	76
ENSG00000159216	51	366	3489
ENSG00000159216	65	1	354
ENSG00000134873	31	1	1
ENSG00000224841	123	4	14
ENSG00000224841	135	1	25
ENSG00000133107	31	3	3
ENSG00000133107	78	1	48
ENSG00000134874	31	2	2
ENSG00000182974	31	1	1
ENSG00000172070	31	1	1
ENSG00000244486	78	1	48
ENSG00000230108	31	1	1
ENSG00000230108	123	1	6
ENSG00000230108	135	1	24
ENSG00000101276	31	2	2
ENSG00000229295	31	1	1
ENSG00000237056	31	1	1
ENSG00000230885	31	1	1
ENSG00000231617	31	2	2
ENSG00000231617	123	2	7
ENSG00000231617	135	18	92
ENSG00000099910	65	1	188
ENSG00000102595	5	1	22
ENSG00000102595	31	2	2
ENSG00000206428	31	1	1
ENSG00000150893	5	1	22
ENSG00000150893	31	7	7
ENSG00000150893	51	1	1
ENSG00000150893	135	1	23
ENSG00000101280	31	2	2
ENSG00000235985	31	1	1
ENSG00000133115	31	1	1
ENSG00000225201	5	4	447
ENSG00000225201	31	1	1
ENSG00000185352	31	1	1
ENSG00000165621	31	1	1
ENSG00000165621	123	1	1
ENSG00000120685	31	2	2
ENSG00000206427	31	2	2
ENSG00000206427	78	2	48
ENSG00000228581	31	3	3
ENSG00000154655	135	1	23
ENSG00000101311	31	1	1
ENSG00000101311	135	1	23
ENSG00000150477	5	1	22
ENSG00000232541	31	3	3
ENSG00000232541	123	1	1
ENSG00000112493	31	1	1
ENSG00000125249	5	1	447
ENSG00000183706	31	4	4
ENSG00000183722	65	1	11
ENSG00000235657	31	1	1
ENSG00000065150	31	1	1
ENSG00000065150	65	1	11
